PID,Customer_ID,Company_Name,Industry_Type,Company_Size,Employee_Count,Annual_Revenue,Location,State,Country,Years_in_Business,Segment,IT_Budget,Decision_Maker,Contact_Email,Registration_Date
PID-0986DF0FB2DE,C00001,Smith PLC,Government,large,5902,417326886,Taylorshire,Minnesota,Djibouti,27,Standard,3765256,Jesse Anderson,enewman@example.org,2023-04-18
PID-9AE40DA3F0B7,C00002,"Newman, Johnson and Phillips",Education,medium,508,18918315,North Daniel,Louisiana,Iceland,34,Premium,3619060,Nichole Campbell,parkercameron@example.com,2024-06-14
PID-60A4BB7C9F42,C00003,"Hawkins, Curtis and Martin",Transportation,large,1990,217700735,South Savannahhaven,Arkansas,Cook Islands,3,Standard,1630884,Tanya Bates,veronicastafford@example.org,2020-02-05
PID-3AF47E29C5D4,C00004,"Payne, Clayton and Owen",Manufacturing,large,4145,376376122,Port Richardland,Michigan,Cayman Islands,48,Basic,969394,Tina Flores,huntkristina@example.com,2020-04-19
PID-9B20A3C7ADF9,C00005,Harris LLC,Education,medium,578,12197997,Lake Kimberly,North Carolina,Cape Verde,15,Basic,2110208,Sheryl Lopez,sandy41@example.com,2024-03-15
PID-A1D2232A3AAE,C00006,Taylor PLC,Finance,large,1214,284004833,Port Hannahfurt,Mississippi,Hong Kong,21,Standard,77682,Tammy Collins,lynn82@example.com,2020-03-19
PID-8C9DB735201C,C00007,"Hess, Lopez and Smith",Finance,small,39,3639911,North Anna,Kentucky,Iraq,44,Premium,3147700,Jack Castillo,brittney31@example.org,2021-04-08
PID-03DEB025DDE0,C00008,Phillips-Hopkins,Government,small,17,4511626,Port Chelseaview,Utah,Senegal,27,Standard,3948543,Justin Smith,frankrichard@example.com,2021-04-01
PID-8FBDAAE259CD,C00009,"Phillips, Romero and Perez",Government,small,35,4524440,North Samuel,Virginia,Honduras,12,Standard,3820390,Trevor Hill,glennthompson@example.net,2023-01-06
PID-33630F537002,C00010,Murray Ltd,Education,small,19,3424968,New Matthewburgh,Washington,Seychelles,29,Basic,939189,Jackson Banks,chelsea69@example.org,2021-05-09
PID-61184D79FFB9,C00011,Kennedy Inc,Manufacturing,small,54,4475360,Jacksonstad,Maine,Lebanon,29,Basic,2507218,Dan Mendoza,brianacarter@example.com,2021-07-26
PID-B74815854AE1,C00012,Gutierrez Ltd,Transportation,small,24,2852504,Port Jasonland,Hawaii,Mauritius,48,Basic,3634224,Jenny Harrison,curtis29@example.net,2024-11-02
PID-1D980500857A,C00013,"Ramirez, Powell and Spencer",Technology,large,8825,478113556,North Jerry,Virginia,Guam,2,Premium,2643818,Lance Riley,harrisbrendan@example.net,2021-06-10
PID-218EAA50CF90,C00014,Stevens-Barrera,Government,small,42,2878846,New Victoria,Indiana,Lebanon,15,Basic,1678900,Barbara Thompson,caleb24@example.com,2021-06-20
PID-2023CF5D1C63,C00015,Washington LLC,Education,small,68,1369556,Jessicafurt,Oregon,Argentina,34,Premium,1181628,Samantha Gomez,gravesjoseph@example.net,2023-09-21
PID-C6C7491E8518,C00016,Mahoney-Young,Retail,medium,964,21766108,Hawkinsside,Louisiana,Iceland,37,Standard,4579361,Michelle Hoffman,fquinn@example.com,2023-10-12
PID-FAE0EC8FD2BE,C00017,"Knight, Johnson and Drake",Technology,small,28,1466807,North Chaseton,California,Tokelau,17,Standard,1130572,Brett Wright,manuelmichael@example.net,2024-10-09
PID-481E98DDF08C,C00018,Davis and Sons,Finance,large,9491,177545941,Lowefurt,Maryland,Saint Helena,35,Premium,2200222,Tiffany Hooper,angelahall@example.com,2024-03-01
PID-BE0A39B95FA9,C00019,"Davis, Parker and Burns",Healthcare,small,98,4400021,Owensview,New Jersey,Tokelau,24,Basic,2489012,Felicia Martinez,qnicholson@example.com,2021-03-22
PID-872C560B4348,C00020,Gonzales-Smith,Media,large,8614,284321727,Pottstown,California,Israel,48,Premium,3259799,Diane Brooks DDS,ymendez@example.net,2020-03-30
PID-D40E6B40A065,C00021,Ruiz-Miller,Retail,medium,554,41501961,Garciaport,Alabama,British Virgin Islands,38,Standard,3137407,Taylor Wilkerson,hhenry@example.org,2022-12-20
PID-E27DE5E171E7,C00022,"Armstrong, May and Lloyd",Government,small,65,2130095,Marcusfurt,Wyoming,Moldova,45,Standard,4529076,Mrs. Kim Stewart,jeffreyvincent@example.org,2024-11-12
PID-FB0DE73E10DF,C00023,Hanson-Rivas,Retail,small,74,4390171,Melissaberg,Idaho,Iraq,7,Premium,2401074,Angel Orozco,barberwilliam@example.org,2021-07-09
PID-CC0BD9C4DA94,C00024,Martin PLC,Education,large,3028,438799970,Lindaport,Idaho,Austria,5,Basic,3764865,Jerry Johnson,bobby26@example.org,2024-12-27
PID-D6FFB107B589,C00025,Tyler Group,Transportation,medium,392,20029115,Brewerfurt,Tennessee,Kenya,38,Standard,1737413,Robert Jones,kennedysuzanne@example.com,2024-09-05
PID-260344355857,C00026,Jenkins-Davis,Energy,medium,622,5532856,Johnsonhaven,New York,Niger,13,Standard,733833,Julie Harrison,sholmes@example.com,2021-08-21
PID-9B84200FB312,C00027,Hamilton-Smith,Technology,medium,935,47547516,Bakerfurt,Pennsylvania,Gambia,49,Basic,4271961,Ashley White,selliott@example.net,2024-12-12
PID-5685473F8258,C00028,Whitehead-Moore,Finance,small,59,1721438,North Douglas,Rhode Island,Pakistan,23,Basic,396006,Sandra Young,victoriaking@example.net,2022-08-10
PID-A5C6705743B3,C00029,Ashley-Jenkins,Media,small,69,3850112,Mcculloughton,Minnesota,Taiwan,48,Basic,1654593,Wesley Snyder,qlee@example.org,2022-06-06
PID-FA774DBE80FA,C00030,Meyer Inc,Technology,small,99,1783151,Hardyshire,West Virginia,Sri Lanka,21,Standard,4921050,Ashley Fields,gilbertnathan@example.net,2021-12-09
PID-ADB80607B996,C00031,Rich LLC,Transportation,large,8483,478693145,South Kathryn,Michigan,Belize,3,Standard,4107614,Arthur Clay,tyleredwards@example.net,2023-10-15
PID-5E0BF40C75C4,C00032,Gonzalez-Sherman,Education,medium,794,45667995,Jeffreyport,Tennessee,Nigeria,40,Basic,3551204,Juan Robinson,farmerbrian@example.com,2021-12-22
PID-3BAB22F9F980,C00033,Davis-Gutierrez,Energy,small,24,3824869,West Madisonstad,Illinois,Marshall Islands,43,Basic,3987917,Pedro Hurley,hallalexis@example.net,2021-06-15
PID-96C9A01B6B09,C00034,Bridges and Sons,Manufacturing,small,63,4660914,South Emily,New Hampshire,Italy,2,Basic,2339142,Stephanie Chavez,johnsamber@example.net,2021-06-25
PID-AAB2B382CB20,C00035,Sanchez-Wang,Finance,small,71,4161405,Cooperton,Tennessee,Paraguay,6,Premium,874776,James Koch,meyersrachel@example.com,2022-08-24
PID-06A6BA75863E,C00036,Jacobs-Buchanan,Manufacturing,small,40,3290398,Kevinview,Virginia,Seychelles,1,Premium,308207,Mark Bradford,wwilliams@example.com,2023-07-16
